NaN,NaN,NaN,NaN,NaN,NaN,0.000,NaN,NaN,NaN,NaN,NaN
232.91,44.475,-124.62,11.50,32.67,20.50,0.562,8.58E-03,5.89E-03,5.32E-03,-8.739,1.30
232.91,44.477,-124.62,11.54,32.67,20.17,0.561,8.48E-03,5.83E-03,5.26E-03,-8.420,1.31
232.92,44.482,-124.62,11.61,32.65,19.97,0.561,8.26E-03,5.69E-03,5.15E-03,-7.858,1.39
232.94,44.476,-124.62,11.48,32.67,17.93,0.547,8.50E-03,5.84E-03,5.25E-03,-9.263,1.25
232.95,44.473,-124.62,11.45,32.69,18.53,0.543,8.54E-03,5.85E-03,5.28E-03,-9.270,1.23
232.96,44.473,-124.62,11.46,32.69,18.31,0.549,8.53E-03,5.85E-03,5.28E-03,-9.184,1.27
232.97,44.475,-124.62,11.47,32.67,16.87,0.541,8.41E-03,5.77E-03,5.20E-03,-9.396,1.33
232.98,44.471,-124.62,11.45,32.70,17.99,0.525,8.49E-03,5.80E-03,5.24E-03,-9.432,1.30
232.99,44.467,-124.62,11.43,32.71,19.05,0.513,8.51E-03,5.81E-03,5.26E-03,-9.261,1.27
233,44.466,-124.62,11.42,32.70,19.43,0.528,8.47E-03,5.78E-03,5.22E-03,-9.373,1.29
233.01,44.464,-124.62,11.42,32.70,19.00,0.534,8.51E-03,5.80E-03,5.24E-03,-9.394,1.28
233.02,44.465,-124.62,11.48,32.68,20.02,0.540,8.44E-03,5.77E-03,5.20E-03,-8.868,1.34
233.03,44.467,-124.62,11.53,32.66,21.01,0.543,8.42E-03,5.77E-03,5.18E-03,-8.390,1.37
233.05,44.464,-124.62,11.44,32.68,16.81,0.521,8.38E-03,5.73E-03,5.15E-03,-9.371,1.32
233.05,44.464,-124.62,11.41,32.69,16.54,0.517,8.37E-03,5.72E-03,5.14E-03,-9.506,1.32
233.07,44.461,-124.62,11.40,32.70,19.38,0.511,8.46E-03,5.78E-03,5.22E-03,-10.068,1.28
233.07,44.46,-124.62,11.40,32.71,19.78,0.507,8.41E-03,5.74E-03,5.19E-03,-9.807,1.25
233.08,44.461,-124.62,11.38,32.71,19.95,0.503,8.31E-03,5.67E-03,5.13E-03,-9.753,1.21
233.09,44.456,-124.62,11.38,32.72,20.44,NaN,8.29E-03,5.65E-03,5.15E-03,-9.923,NaN
233.11,44.451,-124.63,11.37,32.71,20.08,0.510,8.36E-03,5.71E-03,5.16E-03,-9.594,1.20
233.11,44.452,-124.64,11.40,32.69,19.79,0.510,8.32E-03,5.68E-03,5.12E-03,-9.186,1.24
233.13,44.453,-124.65,11.44,32.66,18.03,0.519,8.27E-03,5.65E-03,5.08E-03,-8.970,1.26
233.13,44.45,-124.65,11.42,32.67,16.37,0.515,8.29E-03,5.66E-03,5.10E-03,-9.157,1.25
233.15,44.445,-124.66,11.38,32.69,21.41,0.502,8.34E-03,5.68E-03,5.12E-03,-9.297,1.26
233.15,44.448,-124.66,11.47,32.66,20.78,0.521,8.33E-03,5.69E-03,5.12E-03,-8.577,1.30
