224.57,0.76,0.0125,6.30E-04
224.57,0.42,0.0125,6.30E-04
225.28,1.04,0.0140,3.41E-04
226.38,0.23,NaN,NaN
226.38,0.27,NaN,NaN
227.35,2.49,NaN,NaN
227.35,2.54,NaN,NaN
228.46,3.82,0.0312,9.47E-04
229.32,0.64,0.0101,0.00E+00
229.32,0.64,0.0101,0.00E+00
230.36,2.03,NaN,NaN
231.34,5.85,NaN,NaN
231.34,8.16,NaN,NaN
232.51,2.03,0.0212,8.89E-04
232.51,2.26,0.0212,8.89E-04
233.27,1.94,0.0190,0.00E+00
235.28,1.36,0.0202,1.39E-03
236.37,0.2,0.0035,4.25E-04
236.37,0.21,0.0035,4.25E-04
237.26,0.13,0.0019,1.98E-04
237.61,0.11,0.0023,2.68E-04
237.61,0.11,0.0023,2.68E-04
224.56,0.633,0.0130,0.00E+00
225.33,0.749,0.0137,4.36E-04
226.35,0.29,NaN,NaN
227.36,2.412,0.0421,4.62E-04
227.36,2.474,0.0421,4.62E-04
228.47,2.266,0.0309,9.25E-04
229.33,0.529,0.0103,1.68E-04
230.37,0.446,NaN,NaN
231.32,1.94,NaN,NaN
231.32,1.907,NaN,NaN
232.52,1.022,0.0208,4.89E-04
232.77,1.107,0.0226,2.33E-03
233.02,1.049,0.0209,3.40E-04
233.17,1.244,0.0229,1.03E-03
233.33,1.145,0.0183,9.52E-04
233.50,1.216,0.0229,2.39E-03
233.67,1.144,0.0248,6.26E-04
233.83,1.005,0.0231,3.08E-03
234.00,1.034,0.0228,1.29E-03
234.17,1.028,0.0181,1.28E-03
234.33,1.164,0.0207,2.14E-03
234.50,0.77,0.0211,6.51E-04
234.67,0.694,0.0156,1.64E-03
234.83,1.056,0.0163,1.84E-03
235.00,1.009,0.0224,8.93E-04
235.26,0.942,NaN,NaN
235.51,0.942,0.0230,2.41E-04
235.76,0.973,0.0233,1.30E-03
236.35,0.168,0.0026,9.60E-04
236.59,0.13,0.0024,3.59E-04
236.93,0.13,0.0021,4.08E-04
237.26,0.125,0.0019,1.98E-04
237.60,0.108,0.0018,2.45E-04
237.93,0.09,0.0018,2.71E-04
238.27,0.102,0.0015,4.51E-04
238.62,0.113,0.0013,3.83E-04
